NOTE:  "Generic" down at the bottom has a gap -- AFAIK, this will require manual handling

Solution Name	Solution Nickname	Category Nicknames	Managed Area	Bundle Project
Cistern	cistern	cisterns	roof	FALSE
Cistern to Conveyance Channel	cistern_to_conveyance_channel	cisterns	roof	TRUE
Cistern to Rain Garden	cistern_to_rain_garden	cisterns	roof	TRUE
Cistern to Side Sewer	cistern_to_side_sewer	cisterns	roof	TRUE
Downspout Disconnect	downspout_disconnect	downspouts	roof	TRUE
Rain Garden - Paved	rain_garden_paved	rain_gardens	paved	FALSE
Rain Garden - Roof	rain_garden_roof	rain_gardens	roof	TRUE
Rain Garden with Drain - Paved	rain_garden_with_drain_paved	rain_gardens	paved	FALSE
Rain Garden with Drain - Roof	rain_garden_with_drain_roof	rain_gardens	roof	FALSE
Porous Pavement	porous_pavement	permeable_surfaces	paved	TRUE
Rock-filled Trench	rockfilled_trench	infiltration_trenches	paved	FALSE
Rock-filled Trench - Paved	rockfilled_trench_paved	infiltration_trenches	paved	TRUE
Rock-filled Trench - Roof	rockfilled_trench_roof	infiltration_trenches	roof	TRUE
Compost and Mulch	compost_and_mulch	ground_coverings	yard	TRUE
Trees (Deciduous)	trees_deciduous	trees	yard	TRUE
Trees (Evergreen)	trees_evergreen	trees	yard	TRUE
Drywell - Paved	drywell_paved	drywells	paved	FALSE
Drywell - Roof	drywell_roof	drywells	roof	TRUE
Ecoroof	ecoroof	ecoroofs	roof	TRUE
Flow-through Planter - Paved	flowthrough_planter_paved	flow-through_planters	paved	TRUE
Flow-through Planter - Roof	flowthrough_planter_roof	flow-through_planters	roof	TRUE
Infiltration Planter - Paved	infiltration_planter_paved	infiltration_planters	paved	TRUE
Infiltration Planter - Roof	infiltration_planter_roof	infiltration_planters	roof	FALSE
Generic	generic_water	stormwater_management		FALSE
Rain Barrel	rain_barrel	cisterns	roof	FALSE